ID,Score
394,5
4217,5
15486,4
12765,4
18358,10
7406,1
19541,12
3526,2
152,8
7089,3
19472,0
1259,6
10350,3
9575,0
4119,2
3313,4
6424,3
4054,3
14872,4
317,8
12854,1
869,3
18247,10
6187,1
6644,1
13228,1
191,8
9914,2
9932,3
7395,0
7705,1
1487,6
9558,3
18467,12
1696,8
12982,3
6335,3
10000,0
11845,2
19179,20
6255,1
6628,2
3836,4
8914,3
19477,20
15147,3
12815,1
15928,2
10290,1
4667,3
6406,2
7018,1
4305,4
16489,3
12215,0
7490,3
3327,1
3727,2
12508,1
7458,2
18632,10
17853,10
3987,2
16425,4
16275,4
6877,3
15923,3
13115,3
2998,2
11888,2
6847,2
6340,2
9474,2
406,2
16218,3
8875,0
18926,12
1377,5
15960,0
4745,2
12057,0
9967,3
6400,1
18858,10
3286,2
160,6
4634,6
9371,3
18813,0
4333,2
15529,2
20844,25
20942,50
3472,2
9007,3
4294,5
712,4
11895,2
3924,2
2986,5
543,5
3612,3
4346,3
9166,3
9356,1
856,4
20894,30
18655,12
14893,3
1545,3
15322,3
17987,12
18898,12
4285,1
1140,8
6428,2
9881,1
3275,3
12932,2
3844,4
4577,4
19381,1
1005,8
3567,3
18444,20
1054,8
7062,2
15799,3
6623,2
16152,2
19351,10
9294,2
19467,8
4649,3
6682,2
15914,4
246,9
6119,2
10590,1
18150,15
15103,3
9954,2
18522,0
3751,3
17986,20
16447,3
838,3
4610,3
10532,3
6003,3
10258,2
1431,3
3814,2
16059,1
12776,2
808,4
3933,1
11840,0
10341,0
954,2
19315,10
13068,3
15153,3
21304,50
382,8
20922,45
6992,2
7360,3
3713,3
6924,3
1534,4
21053,45
16189,3
18861,0
3929,3
6304,2
1069,6
18021,10
4238,3
3850,2
6688,1
6077,1
19521,10
6827,0
21617,50
9025,1
16522,4
626,6
14916,4
771,6
9385,2
15477,3
16190,4
10204,3
9675,2
7542,3
1435,8
9877,2
1072,4
10494,2
13545,2
15026,3
9999,2
15204,2
487,3
10126,0
161,6
825,4
15336,4
6097,1
21295,50
10378,1
6803,2
1585,8
12045,2
18727,12
1630,6
1031,8
17951,10
615,5
693,4
3020,2
1280,6
15345,4
12259,1
15387,3
19076,5
18144,12
20747,50
7549,1
1739,6
15186,4
12320,1
12762,1
6537,2
18127,20
15934,1
10174,0
9977,0
16065,4
7573,1
834,6
3067,2
18235,10
12834,3
13147,2
15635,3
3793,3
6971,1
3693,3
881,2
14949,1
630,6
7328,2
3123,3
1147,6
12401,0
13160,3
15742,4
7170,1
11852,3
3281,3
21142,50
8998,3
1411,8
12723,2
4316,3
6708,0
10594,2
13396,2
13012,0
12624,1
15965,4
7182,1
12444,1
1157,4
11906,3
18502,12
13247,2
12931,3
3462,2
4157,3
15817,2
19042,0
690,8
12027,2
21433,50
9710,2
7637,2
3864,3
4319,2
13531,3
3917,2
284,6
12435,0
7383,2
7232,0
18616,22
4357,3
12978,2
12162,4
280,8
473,4
16201,3
12598,1
6467,1
3493,2
10571,1
3732,2
4247,3
1073,6
3990,4
9444,3
12606,1
12567,0
611,2
12964,3
14961,2
9783,3
9226,0
595,6
15229,2
3352,2
15899,4
9962,2
13469,2
7508,2
421,6
782,2
12170,2
15274,4
18134,12
1643,4
7165,2
21389,0
15660,2
13109,1
20792,35
1582,6
863,2
12140,2
958,8
6033,3
18126,0
16044,3
15438,3
18271,20
9812,1
18086,5
3939,3
88,8
9759,1
6848,3
21057,50
18686,20
21032,50
18368,10
12073,1
19378,10
9747,1
10048,1
17910,18
6542,3
13212,2
15671,4
13438,2
12818,3
17922,22
7097,2
18681,20
6414,2
16369,4
12489,3
7437,3
13553,1
7057,2
15582,4
9854,1
9115,2
9846,3
19024,10
12305,4
12272,1
11978,3
10090,3
12688,1
403,6
10439,2
4618,2
4186,1
16513,3
12414,0
12037,3
15210,2
18664,20
4538,3
19415,22
10093,3
6094,3
12350,4
10208,2
13159,0
16500,3
6760,2
18937,5
1647,4
10422,3
15576,3
13205,2
4713,4
12203,2
15995,3
16171,3
9390,1
6303,0
3507,4
5985,0
18180,15
656,4
18366,10
12311,0
7092,1
13314,3
21163,45
18169,8
4636,4
995,2
21570,45
792,7
10273,1
8896,3
21000,50
6483,3
15539,4
12689,0
18384,0
9882,1
13570,3
1785,3
18603,0
6177,2
4761,2
13011,0
15612,4
8898,3
16360,4
3558,3
10438,0
18451,12
16248,3
7465,2
13234,1
217,8
1151,4
19222,22
7603,1
18695,22
8892,2
14924,3
18029,20
10574,2
12220,1
4695,3
19470,20
13054,1
18060,10
7026,3
7557,1
7160,1
19403,10
10272,2
7687,2
477,4
18336,12
1188,6
14946,3
9218,1
16582,4
15009,3
13017,0
21460,45
12586,2
13520,2
15590,4
7104,2
4290,5
117,6
9898,2
15808,1
8984,1
4644,1
9357,2
13337,4
6362,2
400,2
787,6
1184,6
322,6
4553,3
10530,3
12746,1
94,4
8973,3
14849,4
17842,15
15136,4
13361,3
6203,3
7299,2
21544,50
18031,10
18835,20
21468,45
19316,10
10138,0
9105,1
3498,3
15987,3
16465,4
10318,1
12533,1
10176,1
4718,3
1513,6
18630,10
4481,2
729,6
3270,3
12081,3
14862,3
643,5
15461,4
20859,48
6082,1
19202,25
3665,3
466,8
13277,3
11875,2
19410,12
1501,5
1203,6
6611,2
3387,2
20766,50
6580,3
3895,2
3941,3
20802,20
10423,2
18562,22
19563,15
3704,3
16585,4
2999,2
2987,5
12743,3
15961,3
1575,2
6920,1
4674,4
9815,1
1265,4
19029,15
6592,3
13311,2
12523,2
3819,2
3892,4
11914,1
16300,3
7306,2
914,6
3509,5
35,6
18018,10
12988,2
19197,25
3284,3
12943,4
10030,0
15267,4
7344,3
1538,6
13379,1
4722,2
3288,4
1047,8
19210,12
9643,3
10187,3
797,7
15516,4
938,6
7531,2
92,8
15052,3
1741,4
21366,50
21354,50
12242,4
19239,18
13167,0
19065,10
9346,3
3949,4
16024,3
19161,22
12077,1
14870,2
20836,45
1602,8
13186,2
19097,5
12680,2
7555,2
3919,5
15698,2
15900,4
10637,0
337,8
15913,1
8907,0
9494,2
15919,1
14966,4
16379,2
4525,4
3268,3
3536,3
16378,0
12330,3
16556,0
21601,45
15075,1
701,6
3106,4
9472,1
21584,45
3481,3
21329,42
15772,4
7670,0
12420,4
9268,0
12630,0
10114,0
6896,1
13543,3
18503,15
1567,4
4379,5
9818,1
15705,4
3133,3
12795,2
12152,3
13256,2
7359,1
7138,2
18588,22
12205,3
10182,0
15428,3
518,6
