ID,domain1_score,Score,gold_score,pred_score,difference,abs_difference
15965,4,4,4,4,0,0
15705,4,4,4,4,0,0
10176,1,1,1,1,0,0
123,10,8,10,8,-2,2
3693,3,3,3,3,0,0
6660,1,2,1,2,1,1
3650,4,4,4,4,0,0
3327,3,1,3,1,-2,2
11927,2,0,2,0,-2,2
15563,1,1,1,1,0,0
21447,36,40,36,40,4,4
2984,5,4,5,4,-1,1
1073,8,6,8,6,-2,2
15905,3,3,3,3,0,0
18366,16,10,16,10,-6,6
12795,1,2,1,2,1,1
7306,1,2,1,2,1,1
1457,7,6,7,6,-1,1
4777,3,2,3,2,-1,1
21235,28,20,28,20,-8,8
13469,2,2,2,2,0,0
15009,4,3,4,3,-1,1
13531,3,3,3,3,0,0
18302,16,10,16,10,-6,6
7143,2,1,2,1,-1,1
10093,2,3,2,3,1,1
7383,1,2,1,2,1,1
1228,8,6,8,6,-2,2
3281,4,3,4,3,-1,1
869,6,3,6,3,-3,3
9482,2,3,2,3,1,1
19004,11,5,11,5,-6,6
7160,1,1,1,1,0,0
9881,1,1,1,1,0,0
16005,3,1,3,1,-2,2
9815,1,1,1,1,0,0
3272,2,1,2,1,-1,1
794,8,5,8,5,-3,3
6119,1,2,1,2,1,1
7359,0,1,0,1,1,1
15069,4,3,4,3,-1,1
4635,3,3,3,3,0,0
21163,40,45,40,45,5,5
3286,3,2,3,2,-1,1
722,10,8,10,8,-2,2
13379,1,1,1,1,0,0
21304,37,50,37,50,13,13
16275,4,4,4,4,0,0
18562,19,22,19,22,3,3
15218,2,2,2,2,0,0
693,8,4,8,4,-4,4
6052,2,1,2,1,-1,1
18171,17,10,17,10,-7,7
7016,1,2,1,2,1,1
10382,2,3,2,3,1,1
6992,2,2,2,2,0,0
12818,3,3,3,3,0,0
4285,3,1,3,1,-2,2
4649,4,3,4,3,-1,1
4009,1,1,1,1,0,0
18223,20,22,20,22,2,2
9292,3,3,3,3,0,0
15387,3,3,3,3,0,0
7032,2,2,2,2,0,0
10494,2,2,2,2,0,0
7705,1,1,1,1,0,0
1589,10,4,10,4,-6,6
12630,1,0,1,0,-1,1
13443,2,1,2,1,-1,1
11875,3,2,3,2,-1,1
13620,4,3,4,3,-1,1
1616,9,8,9,8,-1,1
3558,3,3,3,3,0,0
12247,3,2,3,2,-1,1
10208,3,2,3,2,-1,1
16127,4,4,4,4,0,0
4634,4,6,4,6,2,2
92,11,8,11,8,-3,3
8965,2,1,2,1,-1,1
9977,0,0,0,0,0,0
3941,2,3,2,3,1,1
10290,2,1,2,1,-1,1
3471,3,2,3,2,-1,1
18945,24,22,24,22,-2,2
10031,2,2,2,2,0,0
3799,3,3,3,3,0,0
15533,4,3,4,3,-1,1
4217,6,5,6,5,-1,1
825,6,4,6,4,-2,2
19351,16,10,16,10,-6,6
16505,4,4,4,4,0,0
15036,3,3,3,3,0,0
6871,2,3,2,3,1,1
565,9,6,9,6,-3,3
113,8,4,8,4,-4,4
9195,1,1,1,1,0,0
635,10,3,10,3,-7,7
19472,19,0,19,0,-19,19
9664,0,0,0,0,0,0
6885,1,0,1,0,-1,1
4294,4,5,4,5,1,1
19381,22,1,22,1,-21,21
15204,2,2,2,2,0,0
807,11,4,11,4,-7,7
472,12,6,12,6,-6,6
1031,9,8,9,8,-1,1
6566,3,2,3,2,-1,1
3142,4,2,4,2,-2,2
15314,3,4,3,4,1,1
12003,3,3,3,3,0,0
15995,3,3,3,3,0,0
797,10,7,10,7,-3,3
3330,3,3,3,3,0,0
6896,3,1,3,1,-2,2
9538,2,1,2,1,-1,1
9502,1,3,1,3,2,2
15229,2,2,2,2,0,0
6827,2,0,2,0,-2,2
3472,3,2,3,2,-1,1
4636,3,4,3,4,1,1
13566,3,2,3,2,-1,1
3836,4,4,4,4,0,0
9788,2,3,2,3,1,1
9558,3,3,3,3,0,0
3050,2,2,2,2,0,0
15226,4,3,4,3,-1,1
17921,10,0,10,0,-10,10
15998,4,3,4,3,-1,1
15497,3,2,3,2,-1,1
7360,2,3,2,3,1,1
6997,2,3,2,3,1,1
18451,18,12,18,12,-6,6
7409,2,3,2,3,1,1
12880,0,0,0,0,0,0
20742,40,45,40,45,5,5
18538,18,12,18,12,-6,6
3536,3,3,3,3,0,0
4415,4,3,4,3,-1,1
12311,2,0,2,0,-2,2
18060,8,10,8,10,2,2
12636,1,0,1,0,-1,1
843,8,7,8,7,-1,1
17868,15,12,15,12,-3,3
1158,9,6,9,6,-3,3
12854,1,1,1,1,0,0
11837,1,0,1,0,-1,1
15633,3,0,3,0,-3,3
6414,1,2,1,2,1,1
18212,14,10,14,10,-4,4
9356,1,1,1,1,0,0
16348,1,2,1,2,1,1
1280,6,6,6,6,0,0
6255,1,1,1,1,0,0
10114,1,0,1,0,-1,1
8973,3,3,3,3,0,0
10350,3,3,3,3,0,0
1019,10,8,10,8,-2,2
13570,3,3,3,3,0,0
20802,30,20,30,20,-10,10
3288,4,4,4,4,0,0
18857,24,15,24,15,-9,9
7531,1,2,1,2,1,1
3355,3,2,3,2,-1,1
20747,38,50,38,50,12,12
21156,40,45,40,45,5,5
10135,2,0,2,0,-2,2
13109,1,1,1,1,0,0
16260,4,4,4,4,0,0
3934,4,2,4,2,-2,2
13212,3,2,3,2,-1,1
14912,3,3,3,3,0,0
7508,1,2,1,2,1,1
7549,1,1,1,1,0,0
9049,2,2,2,2,0,0
3270,3,3,3,3,0,0
3507,4,4,4,4,0,0
1538,9,6,9,6,-3,3
505,10,4,10,4,-6,6
19378,21,10,21,10,-11,11
6315,2,2,2,2,0,0
6542,2,3,2,3,1,1
886,11,7,11,7,-4,4
4739,3,4,3,4,1,1
18695,17,22,17,22,5,5
16142,1,1,1,1,0,0
3703,3,3,3,3,0,0
7440,2,2,2,2,0,0
12255,2,2,2,2,0,0
15031,3,4,3,4,1,1
6149,2,1,2,1,-1,1
19161,19,22,19,22,3,3
6682,3,2,3,2,-1,1
6289,2,2,2,2,0,0
12170,4,2,4,2,-2,2
18336,19,12,19,12,-7,7
3387,3,2,3,2,-1,1
18086,15,5,15,5,-10,10
3430,3,2,3,2,-1,1
21485,36,45,36,45,9,9
9806,1,1,1,1,0,0
19264,11,10,11,10,-1,1
21601,40,45,40,45,5,5
9736,0,1,0,1,1,1
16537,2,2,2,2,0,0
21366,41,50,41,50,9,9
13046,3,3,3,3,0,0
7477,1,1,1,1,0,0
15067,2,2,2,2,0,0
487,8,3,8,3,-5,5
12765,3,4,3,4,1,1
642,8,6,8,6,-2,2
18126,6,0,6,0,-6,6
20732,31,10,31,10,-21,21
6431,1,3,1,3,2,2
4162,5,5,5,5,0,0
3814,3,2,3,2,-1,1
20,6,6,6,6,0,0
13314,3,3,3,3,0,0
10273,2,1,2,1,-1,1
6018,2,0,2,0,-2,2
4695,4,3,4,3,-1,1
1054,8,8,8,8,0,0
9003,2,3,2,3,1,1
19364,21,12,21,12,-9,9
15671,4,4,4,4,0,0
1203,8,6,8,6,-2,2
15576,4,3,4,3,-1,1
13452,1,0,1,0,-1,1
1490,6,4,6,4,-2,2
16171,4,3,4,3,-1,1
21620,33,45,33,45,12,12
958,8,8,8,8,0,0
4713,3,4,3,4,1,1
12743,3,3,3,3,0,0
6970,2,2,2,2,0,0
17951,9,10,9,10,1,1
403,8,6,8,6,-2,2
19541,13,12,13,12,-1,1
18721,15,8,15,8,-7,7
20859,43,48,43,48,5,5
15934,1,1,1,1,0,0
9844,2,1,2,1,-1,1
490,8,6,8,6,-2,2
19029,24,15,24,15,-9,9
17986,17,20,17,20,3,3
7658,2,3,2,3,1,1
12109,3,2,3,2,-1,1
16512,2,2,2,2,0,0
19125,17,15,17,15,-2,2
11888,1,2,1,2,1,1
19405,14,10,14,10,-4,4
18740,20,10,20,10,-10,10
1259,10,6,10,6,-4,4
16070,3,2,3,2,-1,1
3228,4,3,4,3,-1,1
280,10,8,10,8,-2,2
5987,3,2,3,2,-1,1
12140,2,2,2,2,0,0
7490,2,3,2,3,1,1
3462,3,2,3,2,-1,1
14862,3,3,3,3,0,0
4572,1,2,1,2,1,1
15267,4,4,4,4,0,0
12843,2,2,2,2,0,0
1566,8,6,8,6,-2,2
21224,43,35,43,35,-8,8
12242,4,4,4,4,0,0
615,9,5,9,5,-4,4
10637,1,0,1,0,-1,1
15709,4,3,4,3,-1,1
5985,0,0,0,0,0,0
3892,3,4,3,4,1,1
94,8,4,8,4,-4,4
18021,16,10,16,10,-6,6
9494,2,2,2,2,0,0
12162,4,4,4,4,0,0
16442,2,3,2,3,1,1
6303,1,0,1,0,-1,1
12259,2,1,2,1,-1,1
14937,1,1,1,1,0,0
761,8,2,8,2,-6,6
3895,4,2,4,2,-2,2
9371,2,3,2,3,1,1
18174,23,12,23,12,-11,11
10532,2,3,2,3,1,1
7128,2,2,2,2,0,0
3751,4,3,4,3,-1,1
792,8,7,8,7,-1,1
337,10,8,10,8,-2,2
6760,3,2,3,2,-1,1
12205,3,3,3,3,0,0
1585,9,8,9,8,-1,1
9213,1,0,1,0,-1,1
284,8,6,8,6,-2,2
11900,3,2,3,2,-1,1
10549,1,0,1,0,-1,1
12567,2,0,2,0,-2,2
6918,1,3,1,3,2,2
12988,2,2,2,2,0,0
9618,3,3,3,3,0,0
10207,2,2,2,2,0,0
21308,40,50,40,50,10,10
167,8,6,8,6,-2,2
2991,3,3,3,3,0,0
4119,3,2,3,2,-1,1
9914,3,2,3,2,-1,1
13396,2,2,2,2,0,0
4244,4,4,4,4,0,0
12444,3,1,3,1,-2,2
15461,3,4,3,4,1,1
6305,3,3,3,3,0,0
13543,2,3,2,3,1,1
20942,40,50,40,50,10,10
13572,2,2,2,2,0,0
14998,3,4,3,4,1,1
19256,16,12,16,12,-4,4
9894,2,1,2,1,-1,1
12220,2,1,2,1,-1,1
117,8,6,8,6,-2,2
19020,16,10,16,10,-6,6
13606,3,1,3,1,-2,2
12978,2,2,2,2,0,0
16216,1,2,1,2,1,1
7661,2,2,2,2,0,0
3990,4,4,4,4,0,0
13579,2,1,2,1,-1,1
16513,3,3,3,3,0,0
19247,13,10,13,10,-3,3
8907,0,0,0,0,0,0
19435,17,12,17,12,-5,5
18686,18,20,18,20,2,2
16522,3,4,3,4,1,1
16514,4,4,4,4,0,0
1265,10,4,10,4,-6,6
12892,3,1,3,1,-2,2
13001,1,1,1,1,0,0
14849,3,4,3,4,1,1
1545,8,3,8,3,-5,5
21460,32,45,32,45,13,13
9115,2,2,2,2,0,0
549,8,4,8,4,-4,4
17928,12,10,12,10,-2,2
12598,1,1,1,1,0,0
9316,3,3,3,3,0,0
1435,10,8,10,8,-2,2
3704,4,3,4,3,-1,1
18813,10,0,10,0,-10,10
15963,3,3,3,3,0,0
9268,0,0,0,0,0,0
18260,13,10,13,10,-3,3
9768,1,1,1,1,0,0
9877,1,2,1,2,1,1
1042,8,10,8,10,2,2
6304,1,2,1,2,1,1
13319,3,2,3,2,-1,1
9747,0,1,0,1,1,1
15919,2,1,2,1,-1,1
7457,0,0,0,0,0,0
3987,3,2,3,2,-1,1
3939,4,3,4,3,-1,1
833,9,6,9,6,-3,3
7657,3,3,3,3,0,0
13247,1,2,1,2,1,1
20766,45,50,45,50,5,5
10622,1,2,1,2,1,1
12322,1,0,1,0,-1,1
6371,3,2,3,2,-1,1
7007,2,2,2,2,0,0
12995,2,1,2,1,-1,1
15900,3,4,3,4,1,1
14924,3,3,3,3,0,0
1483,6,4,6,4,-2,2
9522,2,3,2,3,1,1
12958,4,4,4,4,0,0
10423,1,2,1,2,1,1
3120,3,3,3,3,0,0
12680,3,2,3,2,-1,1
14943,3,3,3,3,0,0
469,9,6,9,6,-3,3
9294,1,2,1,2,1,1
15274,3,4,3,4,1,1
7534,3,3,3,3,0,0
10590,1,1,1,1,0,0
6362,1,2,1,2,1,1
16178,3,3,3,3,0,0
477,6,4,6,4,-2,2
3713,4,3,4,3,-1,1
21053,30,45,30,45,15,15
12399,2,1,2,1,-1,1
18616,24,22,24,22,-2,2
3929,3,3,3,3,0,0
2998,3,2,3,2,-1,1
15345,3,4,3,4,1,1
4104,3,3,3,3,0,0
7097,2,2,2,2,0,0
16446,3,4,3,4,1,1
15428,3,3,3,3,0,0
12489,4,3,4,3,-1,1
14870,2,2,2,2,0,0
18764,9,5,9,5,-4,4
19442,16,10,16,10,-6,6
14872,3,4,3,4,1,1
17853,16,10,16,10,-6,6
12834,3,3,3,3,0,0
4305,4,4,4,4,0,0
15746,3,4,3,4,1,1
3275,3,3,3,3,0,0
6082,1,1,1,1,0,0
518,8,6,8,6,-2,2
446,10,4,10,4,-6,6
9615,2,3,2,3,1,1
20772,33,30,33,30,-3,3
9846,2,3,2,3,1,1
16360,3,4,3,4,1,1
6971,2,1,2,1,-1,1
787,8,6,8,6,-2,2
6177,2,2,2,2,0,0
1195,11,6,11,6,-5,5
15755,0,0,0,0,0,0
13493,4,3,4,3,-1,1
16585,3,4,3,4,1,1
20792,31,35,31,35,4,4
7319,3,3,3,3,0,0
12461,1,1,1,1,0,0
9999,3,2,3,2,-1,1
3481,4,3,4,3,-1,1
3437,3,3,3,3,0,0
13014,2,2,2,2,0,0
1151,10,4,10,4,-6,6
14,6,2,6,2,-4,4
4319,2,2,2,2,0,0
9525,3,3,3,3,0,0
18444,12,20,12,20,8,8
19210,23,12,23,12,-11,11
18442,23,18,23,18,-5,5
19244,19,10,19,10,-9,9
9659,3,1,3,1,-2,2
16528,1,1,1,1,0,0
19089,12,12,12,12,0,0
15820,4,4,4,4,0,0
4247,2,3,2,3,1,1
4525,3,4,3,4,1,1
9218,1,1,1,1,0,0
15153,2,3,2,3,1,1
3240,2,2,2,2,0,0
12420,4,4,4,4,0,0
17922,17,22,17,22,5,5
3985,3,2,3,2,-1,1
6589,1,2,1,2,1,1
13012,3,0,3,0,-3,3
1312,9,3,9,3,-6,6
12401,1,0,1,0,-1,1
13115,3,3,3,3,0,0
8898,2,3,2,3,1,1
18786,23,22,23,22,-1,1
13472,3,3,3,3,0,0
21176,34,35,34,35,1,1
18898,19,12,19,12,-7,7
3123,4,3,4,3,-1,1
4333,3,2,3,2,-1,1
3526,3,2,3,2,-1,1
35,9,6,9,6,-3,3
10341,1,0,1,0,-1,1
6211,1,2,1,2,1,1
15612,2,4,2,4,2,2
1047,11,8,11,8,-3,3
3965,4,4,4,4,0,0
3238,2,3,2,3,1,1
3851,3,3,3,3,0,0
863,10,2,10,2,-8,8
16556,0,0,0,0,0,0
18810,20,12,20,12,-8,8
9417,1,1,1,1,0,0
21043,40,50,40,50,10,10
9263,3,3,3,3,0,0
9783,3,3,3,3,0,0
1656,8,6,8,6,-2,2
10263,1,1,1,1,0,0
18448,19,20,19,20,1,1
6501,1,1,1,1,0,0
13294,3,2,3,2,-1,1
15486,4,4,4,4,0,0
14967,4,4,4,4,0,0
10422,3,3,3,3,0,0
19219,11,0,11,0,-11,11
2999,3,2,3,2,-1,1
3106,4,4,4,4,0,0
3259,2,2,2,2,0,0
12085,3,3,3,3,0,0
7057,2,2,2,2,0,0
10222,0,1,0,1,1,1
12330,2,3,2,3,1,1
4186,3,1,3,1,-2,2
3850,3,2,3,2,-1,1
18089,21,5,21,5,-16,16
13545,2,2,2,2,0,0
1403,11,4,11,4,-7,7
8875,1,0,1,0,-1,1
18018,12,10,12,10,-2,2
729,7,6,7,6,-1,1
16059,1,1,1,1,0,0
3331,4,3,4,3,-1,1
3298,4,4,4,4,0,0
16300,4,3,4,3,-1,1
13054,3,1,3,1,-2,2
15132,3,4,3,4,1,1
1190,9,4,9,4,-5,5
7668,1,3,1,3,2,2
630,8,6,8,6,-2,2
1062,10,2,10,2,-8,8
19042,10,0,10,0,-10,10
21102,31,35,31,35,4,4
1771,8,3,8,3,-5,5
15156,3,3,3,3,0,0
10187,2,3,2,3,1,1
12994,2,1,2,1,-1,1
3268,3,3,3,3,0,0
12586,2,2,2,2,0,0
13361,3,3,3,3,0,0
6555,1,0,1,0,-1,1
13186,2,2,2,2,0,0
6390,2,1,2,1,-1,1
7601,2,2,2,2,0,0
11845,2,2,2,2,0,0
444,8,4,8,4,-4,4
12341,2,1,2,1,-1,1
9932,2,3,2,3,1,1
12308,2,1,2,1,-1,1
3844,4,4,4,4,0,0
18052,17,10,17,10,-7,7
6804,3,3,3,3,0,0
15691,1,1,1,1,0,0
628,11,6,11,6,-5,5
19197,24,25,24,25,1,1
701,8,6,8,6,-2,2
9474,1,2,1,2,1,1
6467,1,1,1,1,0,0
21617,36,50,36,50,14,14
3709,3,2,3,2,-1,1
15477,3,3,3,3,0,0
19150,17,10,17,10,-7,7
11978,3,3,3,3,0,0
3608,4,3,4,3,-1,1
6537,1,2,1,2,1,1
7062,1,2,1,2,1,1
520,6,2,6,2,-4,4
18632,17,10,17,10,-7,7
3313,3,4,3,4,1,1
6335,3,3,3,3,0,0
15727,2,1,2,1,-1,1
13520,3,2,3,2,-1,1
4450,3,1,3,1,-2,2
10483,2,3,2,3,1,1
9702,2,2,2,2,0,0
6931,3,3,3,3,0,0
19315,12,10,12,10,-2,2
13474,1,0,1,0,-1,1
7464,2,2,2,2,0,0
15928,3,2,3,2,-1,1
12077,3,1,3,1,-2,2
3721,4,3,4,3,-1,1
9278,2,1,2,1,-1,1
21544,31,50,31,50,19,19
4688,4,3,4,3,-1,1
1509,8,4,8,4,-4,4
47,8,6,8,6,-2,2
10571,1,1,1,1,0,0
15388,3,2,3,2,-1,1
3949,4,4,4,4,0,0
19415,13,22,13,22,9,9
16189,3,3,3,3,0,0
4269,3,3,3,3,0,0
595,8,6,8,6,-2,2
18127,18,20,18,20,2,2
7450,2,1,2,1,-1,1
7336,3,2,3,2,-1,1
12689,1,0,1,0,-1,1
13017,0,0,0,0,0,0
16289,1,0,1,0,-1,1
16425,3,4,3,4,1,1
21221,31,35,31,35,4,4
6351,3,3,3,3,0,0
18235,18,10,18,10,-8,8
19470,15,20,15,20,5,5
13276,3,2,3,2,-1,1
712,9,4,9,4,-5,5
7542,3,3,3,3,0,0
19521,13,10,13,10,-3,3
12208,2,1,2,1,-1,1
16226,3,2,3,2,-1,1
21336,36,50,36,50,14,14
7100,1,1,1,1,0,0
9648,3,3,3,3,0,0
9867,0,0,0,0,0,0
18681,23,20,23,20,-3,3
9575,1,0,1,0,-1,1
6848,2,3,2,3,1,1
4379,4,5,4,5,1,1
938,11,6,11,6,-5,5
7452,2,3,2,3,1,1
16404,3,4,3,4,1,1
18017,17,10,17,10,-7,7
656,9,4,9,4,-5,5
12621,1,0,1,0,-1,1
21354,35,50,35,50,15,15
1504,8,8,8,8,0,0
4155,3,3,3,3,0,0
15772,4,4,4,4,0,0
18603,16,0,16,0,-16,16
10258,3,2,3,2,-1,1
7465,2,2,2,2,0,0
21142,36,50,36,50,14,14
13237,3,1,3,1,-2,2
1739,10,6,10,6,-4,4
7390,1,1,1,1,0,0
626,7,6,7,6,-1,1
6924,2,3,2,3,1,1
8983,2,2,2,2,0,0
13081,4,4,4,4,0,0
4290,4,5,4,5,1,1
10292,1,1,1,1,0,0
10027,2,3,2,3,1,1
16033,4,4,4,4,0,0
305,10,8,10,8,-2,2
13311,2,2,2,2,0,0
218,8,3,8,3,-5,5
9675,1,2,1,2,1,1
15282,4,4,4,4,0,0
15899,3,4,3,4,1,1
1567,11,4,11,4,-7,7
6699,3,2,3,2,-1,1
12762,2,1,2,1,-1,1
4725,4,2,4,2,-2,2
1431,6,3,6,3,-3,3
3901,3,4,3,4,1,1
7637,2,2,2,2,0,0
322,8,6,8,6,-2,2
3285,4,2,4,2,-2,2
4674,4,4,4,4,0,0
4718,4,3,4,3,-1,1
16001,3,3,3,3,0,0
4766,5,4,5,4,-1,1
6628,1,2,1,2,1,1
12514,4,2,4,2,-2,2
17910,19,18,19,18,-1,1
3567,4,3,4,3,-1,1
11840,1,0,1,0,-1,1
1741,8,4,8,4,-4,4
19282,10,10,10,10,0,0
6592,3,3,3,3,0,0
3070,3,3,3,3,0,0
12726,1,0,1,0,-1,1
3665,3,3,3,3,0,0
4306,3,3,3,3,0,0
10174,1,0,1,0,-1,1
8978,0,0,0,0,0,0
3889,4,2,4,2,-2,2
10465,2,3,2,3,1,1
15026,3,3,3,3,0,0
7299,1,2,1,2,1,1
3200,4,3,4,3,-1,1
3088,3,3,3,3,0,0
14949,1,1,1,1,0,0
12230,3,3,3,3,0,0
18582,19,10,19,10,-9,9
15525,3,4,3,4,1,1
1402,9,6,9,6,-3,3
6803,2,2,2,2,0,0
13131,2,2,2,2,0,0
9484,2,3,2,3,1,1
12746,1,1,1,1,0,0
15210,3,2,3,2,-1,1
3352,2,2,2,2,0,0
13377,2,2,2,2,0,0
19065,17,10,17,10,-7,7
16393,4,4,4,4,0,0
18554,16,12,16,12,-4,4
21630,40,50,40,50,10,10
10272,1,2,1,2,1,1
12842,1,1,1,1,0,0
473,7,4,7,4,-3,3
15385,3,4,3,4,1,1
19153,14,15,14,15,1,1
18522,8,0,8,0,-8,8
17901,10,5,10,5,-5,5
7603,1,1,1,1,0,0
18505,13,0,13,0,-13,13
20865,38,50,38,50,12,12
666,8,6,8,6,-2,2
7018,2,1,2,1,-1,1
9027,3,3,3,3,0,0
16022,1,0,1,0,-1,1
4693,3,3,3,3,0,0
690,9,8,9,8,-1,1
14856,2,2,2,2,0,0
19097,8,5,8,5,-3,3
3793,5,3,5,3,-2,2
14916,3,4,3,4,1,1
894,10,8,10,8,-2,2
16147,2,3,2,3,1,1
13205,2,2,2,2,0,0
